Date/Time,Time,CPU Usage,Temperature
2017-05-01,16:24:14,36.6,80.1
2017-05-01,16:24:36,37.2,81.7
2017-05-01,16:24:58,26,77.4
2017-05-01,16:25:21,22.3,75.2
2017-05-01,16:25:42,3.6,74.1
2017-05-01,16:26:04,3.9,72
2017-05-01,16:26:26,10.2,76.3
2017-05-01,16:26:47,21.4,74.7
2017-05-01,16:27:09,12.2,72.5
2017-05-01,16:27:30,14.4,72
2017-05-01,16:27:59,13,72.5
2017-05-01,16:28:43,8.6,71.4
2017-05-01,16:29:05,7.6,70.9
2017-05-01,16:29:27,8.1,70.9
2017-05-01,16:29:49,8.3,69.8
2017-05-01,16:30:11,10.6,70.9
2017-05-01,16:30:33,8.3,69.8
2017-05-01,16:30:55,8.7,69.8
2017-05-01,16:31:16,21.9,70.9
2017-05-01,16:31:38,14,70.9
2017-05-01,16:32:00,13.3,70.4
2017-05-01,16:32:21,10.9,70.4
2017-05-01,16:32:43,12.3,69.8
2017-05-01,16:33:05,12.4,69.8
2017-05-01,16:33:26,10.7,69.8
2017-05-01,16:33:48,11.7,70.9
2017-05-01,16:34:09,14.5,69.8
2017-05-01,16:34:31,10.4,68.8
2017-05-01,16:34:53,14.9,70.4
2017-05-01,16:35:15,20.9,70.4
2017-05-01,16:35:48,13.5,69.3
2017-05-01,16:36:09,13,69.8
2017-05-01,16:36:31,10.7,69.3
2017-05-01,16:36:53,11.8,68.8
2017-05-01,16:37:15,14.4,68.8
2017-05-01,16:37:37,9.6,68.8
2017-05-01,16:37:59,11.7,68.8
2017-05-01,16:38:21,15.3,67.7
2017-05-01,16:38:43,11.2,68.8
2017-05-01,16:39:05,8.7,67.7
2017-05-01,16:39:27,12.6,68.8
2017-05-01,16:39:49,14,67.7
2017-05-01,16:40:10,12.8,68.2
2017-05-01,16:40:32,10.3,68.8
2017-05-01,16:40:54,13.5,68.8
2017-05-01,16:41:17,13.2,68.8
2017-05-01,16:41:38,31.7,74.1
2017-05-01,16:42:00,58.2,80.1
2017-05-01,16:42:23,60.5,81.1
2017-05-01,16:42:44,59.2,81.7
2017-05-01,16:43:06,62.5,82.7
2017-05-01,16:43:28,60.3,82.7
2017-05-01,16:43:50,62.1,82.7
2017-05-01,16:44:13,59.9,83.3
2017-05-01,16:44:35,61.4,83.8
2017-05-01,16:44:58,63.7,83.3
2017-05-01,16:45:20,65.4,84.4
2017-05-01,16:45:43,65.3,84.4
2017-05-01,16:46:05,65.3,84.9
2017-05-01,16:46:28,72.4,83.3
2017-05-01,16:46:49,59.8,83.8
2017-05-01,16:47:13,61.9,84.4
2017-05-01,16:47:36,66.1,83.8
2017-05-01,16:47:59,73.4,84.4
2017-05-01,16:48:22,67.1,84.9
2017-05-01,16:48:45,65,83.3
2017-05-01,16:49:08,62.5,84.9
2017-05-01,16:49:31,65.2,84.4
2017-05-01,16:49:54,64.5,84.4
2017-05-01,16:50:16,64.6,84.9
2017-05-01,16:50:39,65.4,83.8
2017-05-01,16:51:01,67.3,84.4
2017-05-01,16:51:24,65.2,83.8
2017-05-01,16:51:46,69.1,83.8
2017-05-01,16:52:09,49,82.2
2017-05-01,16:52:36,21.1,79.5
2017-05-01,16:53:03,29.6,81.1
2017-05-01,16:53:35,25.6,81.7
2017-05-01,16:54:01,23.8,81.7
2017-05-01,16:54:33,25.7,80.6
2017-05-01,16:55:01,17,77.9
2017-05-01,16:55:27,11.2,76.3
2017-05-01,16:55:53,8.9,75.2
2017-05-01,16:56:22,11.6,75.2
2017-05-01,16:56:50,14.1,76.8
2017-05-01,16:57:15,14.7,75.8
2017-05-01,16:57:43,13.6,77.4
2017-05-01,16:58:09,21.5,76.3
2017-05-01,16:59:18,10.4,75.2
2017-05-01,16:59:44,10,74.1
2017-05-01,17:00:14,6.9,73.6
2017-05-01,17:00:48,7.5,73.1
2017-05-01,17:01:15,6.5,72.5
2017-05-01,17:01:43,6.5,72
2017-05-01,17:02:11,7.5,72
2017-05-01,17:02:36,7.2,72
2017-05-01,17:03:06,6.2,70.9
2017-05-01,17:03:36,6.5,70.9
2017-05-01,17:04:58,19.8,73.1
2017-05-01,17:05:20,3.2,69.3
2017-05-01,17:05:42,2.6,68.8
2017-05-01,17:06:04,2.8,67.7
2017-05-01,17:06:26,2.2,66.6
2017-05-01,17:06:47,3.2,66.1
2017-05-01,17:07:09,2.9,65.5
2017-05-01,17:07:32,15.6,67.1
2017-05-01,17:07:54,5.6,67.1
2017-05-01,17:08:16,3.3,66.6
2017-05-01,17:08:38,25.8,74.1
2017-05-01,17:09:00,23.6,74.1
2017-05-01,17:09:23,35.2,74.7
2017-05-01,17:09:46,24.2,74.7
2017-05-01,17:10:08,10.9,70.9
2017-05-01,17:10:30,28.4,76.3
2017-05-01,17:10:52,25.8,76.3
2017-05-01,17:11:14,23.7,76.3
2017-05-01,17:11:36,27,76.3
2017-05-01,17:11:58,21.3,76.3
2017-05-01,17:12:21,22.1,75.8
2017-05-01,17:12:43,22.5,75.8
2017-05-01,17:13:07,22.9,76.3
2017-05-01,17:13:29,20.1,76.3
2017-05-01,17:13:51,22.5,77.4
2017-05-01,17:14:13,25.6,78.4
2017-05-01,17:14:35,23,77.9
2017-05-01,17:14:57,21.8,77.9
2017-05-01,17:15:20,22.6,78.4
2017-05-01,17:15:41,24,79
2017-05-01,17:16:03,25.1,78.4
2017-05-01,17:16:25,18.7,78.4
2017-05-01,17:16:48,33.5,79
2017-05-01,17:17:09,14.5,75.2
2017-05-01,17:17:31,13.2,73.6
2017-05-01,17:17:53,11.6,73.1
2017-05-01,17:18:15,11.1,73.1
2017-05-01,17:18:38,14,73.6
2017-05-01,17:18:59,26.6,77.4
2017-05-01,17:19:21,31.6,77.4
2017-05-01,17:19:44,22.3,77.4
2017-05-01,17:20:07,23.7,77.4
2017-05-01,17:20:29,22,77.4
2017-05-01,17:20:51,21.3,77.4
2017-05-01,17:21:13,22.5,77.9
2017-05-01,17:21:35,22.3,76.8
2017-05-01,17:21:59,15,76.8
2017-05-01,17:22:21,31,79.5
2017-05-01,17:22:43,22.2,77.4
2017-05-01,17:23:05,16.7,75.2
2017-05-01,17:23:27,11.1,73.6
2017-05-01,17:23:48,9,74.1
2017-05-01,17:24:10,13.4,73.6
2017-05-01,17:24:32,18,75.2
2017-05-01,17:24:53,24.9,77.4
2017-05-01,17:25:15,36.1,78.4
2017-05-01,17:25:37,24.1,77.9
2017-05-01,17:25:59,23.6,78.4
2017-05-01,17:26:21,22,79
2017-05-01,17:26:43,19.9,77.9
2017-05-01,17:27:05,22.3,77.9
2017-05-01,17:27:27,19,77.9
2017-05-01,17:27:48,17.8,77.4
2017-05-01,17:28:10,28.8,79.5
2017-05-01,17:28:56,20.2,79
2017-05-01,17:29:19,21.5,78.4
2017-05-01,17:29:41,12.9,74.1
2017-05-01,17:30:02,2.8,73.6
2017-05-01,17:30:36,2.5,72.5
2017-05-01,17:30:58,2.8,72
